,nome_do_filme,linguagem,classificaçao_do_publico,tempo_de_execução,ano_de_lançamento,classificaçao_etária,enredo
289,Gold,Hindi,7.3,2 h 25 min,2018,13+,"Set in 1948, the historical story of India's first Olympic medal posts their independence."
290,Baap Re Baap Dokyala Taap,Marathi,6,2 h 20 mins,2008,All,"Yuvraj Kadu Patil, is the only son of a well known tycoon. Yuvraj a simple guy is surprised when suddenly, Chiku, a six year old boy shows up claiming to be his son. Yuvraj's parents are alarmed & his girlfriend, Angelina deserts him. To top it all, Constable Nimbalkar, who's always on the scene, hands over Chiku to Yuvraj repeatedly asking him to accept his responsibility, in series a of comedy"
291,Rapture-Palooza,English,5.2,1 h 24 min,2013,18+,A couple left behind after the rapture find their now miserable lives becoming even more of a nightmare when the anti-Christ moves in down the street and immediately takes a shine to the young woman.
292,Jane Anjane,Hindi,None,2 h 19 min,1971,NR,Ramu after a turbulent childhood finds it tough to settle down with studies and finds solace in crime. In his life enters Mala and they fall in love. Ramu and Mala are very much in love when Mala finds out about Ramu's real profession and makes select the right path. Ramu also promises according to her wishes. Will Ramu and Mala be able to lead a happy life and will he walk away from the wor ...
293,Aloo Paratha,Bengali,None,4min,2020,13+,Aloo Paratha
294,C.B.I. Shankar,Kannada,7.7,2 h 10 min,1989,NR,"When Shankar, a CBI officer, and his team reopen the murder case of Santosh, their investigation into the events surrounding his death reveal interesting facts about the murderer."
295,Billa No. 786,Hindi,4.5,2 h 20 min,2001,NR,"Shankar comes to the city to work and becomes a coolie. He falls in love with Pinky but her father rejects their bond. Meanwhile, Shankar confronts a cop and a builder who try to demolish his slum."
296,Darna Mana Hai,Hindi,6.3,1 h 56 min,2003,18+,"Darna Mana Hai Is A Hindi Horror Movie,Directed By Prawaal Raman, Starring Saif Ali Khan,Nana Patekar,Vivek Oberoi,Shilpa Shetty,Sohail Khan And More.It Was Nominated For Two Awards.Six Friends Relate Spooky Tales To One Another While Stranded On A Highway. Each Story Turns Out To Be Scarier Than The Next One. But, The Biggest Horror Strikes When Some Of The Friends Go Missing."
297,Vivaha Bhojanambu,Telugu,7.7,2 h 18 min,1988,NR,"Vivaha Bhojanambu is a 1988 Indian Telugu film, directed by Jandhyala and produced by Jandhyala and Jaya Krishna. The film stars Rajendra Prasad, Ashwini, Chandra Mohan, Rajya Lakshmi and Subhalekha Sudhakar in lead roles. The music of the film was composed by SP Balasubrahmanyam."
298,Hear No Evil,English,5.1,1 h 36 min,1993,18+,A deaf woman becomes the target of a ruthless and corrupt cop.
299,Homefront,Telugu,6.5,1 h 36 min,2013,18+,"A former DEA agent moves his family to a quiet town, where he soon tangles with a local meth druglord."
300,Bobbili Brahmanna,Telugu,5.4,2 h 2 min,1984,NR,"Bobbili Brahmanna is a 1984 Indian Telugu film, directed by S A Chandrashekar and produced by Kandepi Satynarayana. The film stars Krishnam Raju and Jayasudha in lead roles. The music of the film was composed by Bharani."
301,Hum Ho Gaye Aap Ke,Hindi,4.2,2 h 37 min,2001,13+,"Rishi, a casanova, spots Chandni at an inter-collegiate beauty pageant and is blown by her charm. He mends his reckless ways and learns the meaning of true love, in his efforts to win her over."
302,Ellame En Pondattithaan,Tamil,None,2 h 32 min,1998,All,"Ramki moves to the city to stay at his aunt Radhika's house. Radhika is married to Manivannan, a politician, who forces Radhika to nominate herself for the regional MLA position. Radhika initially refuses the chance but later Ramki convinces her. She later becomes an MLA and wants to help and serve the people. On the other hand, her husband wants to take bribes, misuse power and become rich."
303,Okkadu,Telugu,8,2 h 35 min,2003,NR,"OkkadObul Reddy (Prakash Raj) is a factionist in Kurnool. He falls in love with Swapna (Bhumika). Obul Reddy kills Swapna's brother (Achyut) when he passes a remark about the age difference between Obul Reddy and Swapna. Horrified by the impending danger, Swapna's father gives her money and asks her to go to her uncle's place in the USA. Obul Reddy catches her when she starts traveling. Ajay ..."
304,The Collection,English,6.1,1 h 17 min,2012,18+,"A young woman named Elena sneaks out of her house one night to attend an exclusive party, unaware of the horror that awaits her. A sick criminal known as The Collector crashes the party in search of fresh victims. When Elena goes into hiding, she finds and frees Arkin, The Collector's captive. Arkin manages to escape, but Elena is taken prisoner."
305,Tere Pyar Mein,Hindi,None,1 h 48 min,1979,NR,"Tere Pyar Mein is a 1979 Hindi-language Indian feature film directed by Subhash Sharma, starring Mithun Chakraborty, Sarika, Vijayendra Ghatge, Paintal, Nadira, Madan Puri and Iftekhar. The film had musical score by Bappi Lahiri."
306,The Stolen Princess (Telugu),Telugu,None,1 h 28 min,2018,All,"The Stolen Princess Is A 2018 Ukrainian 3D Kids Animated Fantasy Telugu Film Directed By Oleg Malamuzh, Based On A Fairy Tale Ruslan And Lyudmila By Russian Poet Aleksandr Pushkin. The Film Tells About A Wandering Artist Ruslan Who Saves Princess Mila Kidnapped By Evil Sorcerer Chornomor. The Stolen Princess Gathered Countless Positive Reviews At The Cannes International Film Festival."
307,Prithibir Sesh Station,Bengali,None,2 h 4 min,1993,NR,"Prithibir Shesh Station' is a murder mystery thriller that deals with a mysterious murder case and the complex love relation between the two protagonists of the movie. It exposes the underlying evils of society like child espionage and injustice of the underworld. It also brings into focus the importance of law and order in this country. The movie has a gripping storyline, a complex love sto ..."
308,Pudhu Yugam,Tamil,None,2h,1985,NR,"Pudhu Yugam is a 1985 Indian Tamil film, directed by S A Chandrasekhar and produced by Shoba Chandrasekhar. The film stars Sivakumar, Vijayakanth, K. R. Vijaya and Suresh in lead roles. Music of the film was composed by Gangai Amaran."
309,The Peanut Seller,Hindi,None,19min,2017,All,An orphaned young ragpicker battling isolation and poverty in the streets of New Delhi tries to locate the one man capable of helping him find his mother.
310,Bazaar,Kannada,5.9,2 h 27 min,2019,13+,"Kalki is an ardent follower of pigeon racing, which ultimately leads him to working for a mob boss who shares the same passion. Howevere, his dream of becoming a champion in the spot and his quest to win over the girl he loves wil eventually leave Kalki at a crossroads, and what happens next forms the crux of the story."
311,It Happened One Christmas,English,6.2,1 h 50 min,1977,13+,In the spirit of It's A wonderful Life...A young woman has to give up her dream and remain in her small hometown as head of the family's  building and Loan building.
312,Ente Kaanakkuyil,Malayalam,None,1 h 56 min,1985,NR,Suresh and Anuradha are classmates. At first they fight each other. Eventually they fall for each. But Anu's father Madhavan Thampi doesn't approve their relation. He sets Anu's marriage with Mohan Kumar. Anu reveals about her love to Mohan. After convinced by Mohan Madhavan Thampi agrees for Suresh and Anu's marriage. Knowing about the marriage Suresh goes joyfully but get into an accident ...
313,Silly Fellows,Telugu,6,2 h 3 min,2018,All,"Veerababu's tricks his friend Soori into marrying Pushpa while Veerababu falls in love with Vasanthi. As problems start to rise, Veerababu and Soori goes to MLA Jacket Janaki Ram, who in spite of all of the problems falls into a coma. How Janaki Ram recovers from the coma to file Soori's divorce and fix Veerababu's land issues forms the rest of the story."
314,Kaya Hiner Kahini,Bengali,6.9,1 h 53 min,1973,NR,"Kaya Hiner Kahini is a 1973 Indian Bengali film, directed by Ajoy Kar and Produced by Mukul Roy. The film stars Uttam Kumar, Aparna Sen, Bikash Roy, Pahari Sanyal, Bimal Banerjee, Ashok Mitra and Tarun Kumar in lead roles. The music of the film was composed by Mukul Roy."
315,Raatriki Velayara,Telugu,None,59min,1994,NR,"Raatriki Velayara 1994 Indian Telugu Movie directed by S. P. Sankar. The film stars Shakeela, Anju and Devan in lead roles."
316,Chitchor,Hindi,7.5,1 h 42 min,1976,All,Geeta ends up with two suitors after her father goes to bring home a prospective groom and mistakenly picks up the wrong man.
317,Kanoon,Hindi,7.9,2 h 19 min,None,All,"A petty thief is arrested for a murder he did not commit. The public prosecutor decides to defend him, as the killer is not only a judge, but also the would-be father-in-law of the public prosecutor."
318,Hit (The First Case),Telugu,7.7,2 h 8 min,2020,13+,"Vikram is a 30-year-old cop. While he is battling with his own traumatic past, the stakes get high when a girl called Preethi mysteriously disappears in Hyderabad and Vikram has to solve the case at any cost."
319,Srinivasa Kalyanam,Hindi,6.1,2 h 2 min,2018,All,Srinivas is a tradional guy who believes that marriage is the greatest festival. He meets Sri & both eventually fall in love with each other. Sri's father RK believes that marriage is not worth wasting a lot of time. The moral conflict arises as R.K. & Srinivas have contradictory views about the marriage. How Srinivas changes the views of R.K & blissfully marriage occurs is the rest of the story.
320,Shuddh Desi Romance,Hindi,5.8,2 h 6 min,2013,13+,"Raghu (Sushant Singh Rajput), a tourist guide in Jaipur, wants love in his life. Gayatri (Parineeti Chopra), a part-time instructor, has been around the block a few times. Tara (Vaani Kapoor), who's dying to get out there and fly, knows what's right for her. 3 young people who junk the society's syllabus for finding love, get their beliefs challenged and loves tested as their lives crisscross."
321,Bal Ganesh (Malayalam),Malayalam,None,1 h 42 min,2007,All,"Bal Ganesh is the story of the elephant-headed God Lord Ganesh's childhood. The story centres around the exploits of Lord Ganesh, his companion Mooshak, the mouse and their innumerable adventures. From the birth of Lord Ganesh to the depiction of Ganesh's voracious appetite at Kuber's feast, many mythological events from his childhood have been presented in the film."
322,The Bongs Again,Bengali,5.5,1 h 56 min,2017,13+,"It is a journey of 2 young women.Sara in her 20s comes to kolkata from UK to look for her biological mother. Oli, also goes to London to search for her father, who left her and her family .The story takes us through their connection, journey they make and the pursuit of finding their blood relation. The film depicts today's cosmo Kolkatan and NRI Bengali's life style, thinking towards life."
323,Mettukudi,Tamil,6.6,2 h 15 min,1996,All,"A man pretends to be the son of a long lost royal family to steal a precious sword. However, his plan runs into complications when Indhu the granddaughter of the sword's guardian falls for him."
324,Touch Chesi Chudu,Telugu,4.8,2 h 21 min,2018,13+,"Karthikeya(Ravi Teja) is a businessman who keeps his family first before anything. He has a tough time convincing Pushpa(Raashi Khanna) whom he met in a match making, to marry him and when things seem to be going fine, he suddenly comes across Irfan, a criminal with whom he shares a dreaded past. Who is Irfan? What is the past that connects both of them? What is the shocking fact revealed later?"
325,Sadi Gali Aaya Karo,Punjabi,None,2 h 15 mins,2012,All,"Two young boys, one from Punjab and the other from Haryana, face a dilemma when both fall for a girl from Chandigarh"
326,Zenda,Marathi,7,2 h 1 mins,2009,13+,"Zenda is the story of today's youth, be it a city slicker from a city like Mumbai or Pune, or a local from a remote village in Marathwada, today's youth is intelligent, techno-savvy, focused and yet sensitive. The story is of four such protagonists with their respective dreams and goals. Although not directly related to each other, there is one bond that binds them together, that is politics."
327,Streetscapes [Dialogue],English,None,2 h 11 min,2017,NR,"A film director confides in his interlocutor. He talks about the working process, about creative blocks, about artistic crises and expressive forces. At some point, the idea takes hold that this conversation could be turned into a film. And this is the very film we’re watching the two of them in."
328,Dugout,English,None,52min,2019,13+,"Watch the exciting journey of two friends, James Trundle and Benjamin Sadd, who made their own dugout canoe and used it to travel through the jungles of Ecuador. During their travel they lived members of the Huaorani tribe and ventured into Ecuador's Yasuni region. The film shows the last leg of their journey in the remote region of the rainforest."
329,Padmaavat,Telugu,7,2 h 42 min,2018,13+,"Set in 1303 AD medieval India, Padmaavat is the story of honor, valor and obsession. Queen Padmavati is known for her exceptional beauty along with a strong sense of justice and is the wife of Maharawal Ratan Singh and pride of the Kingdom of Chittor, a prosperous kingdom in the north west of India. The legend of her beauty reaches the reigning sultan of Hindustan – Allaudin Khilji."
330,Kinaare,Kannada,None,2 h 35 min,2018,13+,"An innocent love story, Kinaare is a movie about two pure souls, who don't understand the odd society we live in. They are into their own world and live their lives their way. Whole movie is shot in the vivid locations of South Canara. In other way, Kinaare is a musical movie, with several peculiar characters, whose stories travel to create something magical."
331,Chirantan,Bengali,None,1 h 40 min,1979,NR,"Chirantan is a 1979 Indian Bengali film, directed by Gurudas Bagchi and Produced by Angel Digital Private Limited and R.M. Productions. The film stars Anup Kumar, Sumitra Mukherjee, Vasant Choudhury and Rabi Ghosh in lead roles. The music of the film was composed by Santosh Mukherjee."
332,Pangali,Tamil,None,2 h 40 min,1992,NR,"Pangali is a 1992 Indian Tamil Flim ,directed by K.Subhash & produced by V.Mohan & V.Natarajan .The flim star Sathyaraj, Bhanupriya, Goundamani & Manorama in lead roles.The music of the film was composed by ‎Ilaiyaraaja."
333,Looper,English,7.4,1 h 54 min,2012,18+,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination."
334,Sahasam Swasaga Sagipo,Telugu,6.9,2 h 16 min,2016,13+,"Rajinikanth (Naga Chaitanya) falls in love with Leela (Manjima Mohan), his sister's best friend. As time passes, he gets close to Leela and takes her for a long road trip. The twist in the tale arises when the beautiful road trip changes upside down because of a horrible accident. Thereafter, things become even more difficult for the couple as a dreaded gang starts to attack them."
335,Mujhse Fraaandship Karoge,Hindi,6.9,1 h 44 min,2011,13+,"If Rahul has the voice and looks, Vishal, has the brains. If Malvika, can get heads turning, Preity, can say a million things. What Vishal and Preity can't do, is spell it out to Malvika and Rahul that they heart them. So on Facebook, Vishal becomes Rahul, Preity becomes Malvika and they start chatting. They do a great job of pretending to be someone else. But how long can you fake it?"
336,Thavamai Thavamirunthu,Tamil,7.8,3 h 24 min,2005,All,"National Film Award-winning film that sensitively portrays the struggles of a father whose main priority in life is the well being of his children, and who is determined to see his children grow up to become decent, successful persons."
337,Air Strike,Hindi,3.2,1 h 37 min,2018,18+,"During World War II,Five different Chinese people fight their way through Japanese Air Force attacks to protect an important military machine in Chongqing, 1940."
338,Lights Out,Tamil,6.3,1 h 20 min,2016,18+,A woman is haunted by a creature that only appears when the lights go out.
339,The Burning Hell,English,3.6,59min,1974,NR,"Never intended for general exhibition, this evangelical outreach film was made to depict, in the most vivid cinematic terms, where non-believers and sinners shall go lest they be saved. Based on the sermons of a Southern Baptist preacher and directed by notorious exploitation filmmaker Ron Ormond."
340,Room,English,8.1,1 h 53 min,2015,16+,"Jack, a spirited five-year-old, is looked after by his devoted Ma, doing typical things like playing games and telling stories. However, they are trapped in a windowless, 11-by-11-foot space. As Jack’s curiosity grows, and Ma’s resilience reaches its breaking point, they plan a risky escape."
341,Pahare Atankya,Bengali,None,2 h 3 min,2016,13+,"Pahare Atanko is a suspense thriller. Sid & his girlfriend Mou, Sid's friend Rohan & his girlfriend Piu and Sid's brother Jojo plan a trip to Gangtok and are entrapped by Rana, who tries to kill them. The story relates to the series of misfortunate events that the gang gets involved in. At the end all evil is trumped over by good, and everyone is safe & happily reunited with friends & family."
342,Kayamkulam Kanaran,Malayalam,3.9,1 h 54 min,2002,NR,"Kayamkulam Kanaran is a 2002 indian Malayalam film, directed by Nissar and produced by MD Baiju.The flim stars Sarath Haridas, Madhupal,Kottayam Nazeer & Kalabhavan Shajon in lead roles. The music of the film was composed by K Sanan Nair."
343,Mariah Carey's All I Want For Christmas Is You,English,None,1 h 30 min,2017,All,"Based on her iconic Christmas song, this all-new movie features Mariah Carey's music and narration in a loving story about little Mariah's Christmas wish for a puppy."
344,Drona,Hindi,None,2 h 24 min,2008,NR,"Orphaned, lonely and neglected Aditya grows up in Great Britain, living with his abusive aunt and cousin, Rajesh, and the abuse grows worse after the passing of his uncle. Aditya will soon find out that he is not alone in this world - he has a mother, Rani Jayati; a sweetheart in Sonia; he is watched by angels; and he also has a virtually indestructible arch-enemy - Riz Raizada, who had kill ..."
345,Punjab Singh,Punjabi,6.2,2 h 30 mins,2018,13+,"Amritsar,a holy city of Punjab,India is ruled by a Mafia don Lally Sarkaria. In this scanerio Punjab Singh comes to this city to earn his livelihood but one incident changed his life and he becomes the gangster too but with a mission to eradicate Lally Sarkaria and his political nexus. His childhood friend Arjun Singh, who is now a cop tries to stop him from taking the law in his hands."
346,Shriman Prithviraj,Bengali,None,1 h 47 min,2017,13+,A Bengali film set in British India about a young boy forced to marry a girl to change his mischievous ways.
347,Her,English,8,2 h 1 min,2014,18+,"Theodore Twombly, an introvert writer, buys an Artificial Intelligence system to help him write. However, amazed by the AI's ability to learn and adapt, he falls in love with it."
348,The Matrix,English,8.7,2 h 16 min,1999,18+,Keanu Reeves stars in an explosive sci-fi adventure about a man who comes to believe that his everyday world is the product of a computer-driven digital matrix that feeds on humans.
349,Chingari,Kannada,5.6,2 h 7 min,2012,13+,"The movie revolves around a Super cop C.C.B. officer Dhanush as he sets out to rescue his kidnapped girlfriend in Switzerland who is about to be sold into prostitution. Dhanush, a courageous police officer, is in love with Geetha. However, when she is kidnapped and taken to Switzerland to be sold into prostitution, he must rescue her."
350,Bobby Jasoos,Hindi,5.5,1 h 56 min,2014,All,"Bobby Jasoos is a film that celebrates the aspiration of Bobby, who wants to become the number one detective in the old city area of Hyderabad."
351,Fanaa,Hindi,7.2,2 h 48 min,2006,13+,"Zooni (Kajol), a blind Kashmiri girl, meets Rehan Qadri (Aamir Khan), a local Delhi tour guide and an incorrigible flirt. Her friends warn her against him but she chooses to ignore them. Rehan is fascinated by Zooni and wants her to see life as it should be seen. What Zooni doesn’t know is that Rehan has another side to him- something that can not only change her life, but can also destroy it."
352,Bhoot Part One - The Haunted Ship,Hindi,5.4,1 h 50 min,2020,16+,"In June 2012, A huge, dead, unmanned ship-“Sea Bird”, on its way to a shipyard, broke its ties and ran ashore Juhu beach. Prithvi, a shipping officer recovering from psychotic depression due to the loss of his family, is in charge of getting Sea Bird back afloat."
353,Gavthi,Marathi,7.5,2 h 32 mins,2018,NR,"A journey of love, respect, hard work and sacrifices! Gavthi unfurls the small town story of Gajanan, a village simpleton who is determined to earn respect by becoming successful. But his dream comes with a huge price! Not only he has to give up his family, friends and even childhood love, but he also struggles through the fast-paced life of the city. Will he be able to?"
354,Rammstein in Amerika - Live from Madison Square Garden,English,8.7,1 h 41 min,2015,18+,"The 102-minute concertfilm includes the entirety of Rammstein’s legendary concert at New York’s Madison Square Garden on December 11th 2010, the show that sold out in 20 minutes and marked the band’s live return to the States after a ten-year absence."
355,Cinerama’s Russian Adventure,English,None,2 h 7 min,None,7+,"Narrated by Bing Crosby, this Cinerama project screens scenes of landscapes, cities, peoples, and entertainments of the Soviet Union. Highlights include the historic buildings and churches of Moscow, as the Kremlin; its subway and streets, a spring carnival, the seaside resorts and many more!"
356,Maaveeran,Tamil,7.6,2 h 36 min,1986,NR,"A rude princess, proud of her heritage and status meets a simple village lad with whom she is initially hostile but later falls in love with him."
357,Mithai,Telugu,4.3,2 h 17 min,2019,13+,"Sai (Rahul Ramakrishna) and Jani (Priyadarshi) as they set off on an adventure-filled journey across Hyderabad to catch a thief! Filled with moments that will make you laugh and cry, and a host of unforgettable characters that they encounter along the way, Mithai is a rip-roaring ride that is easy to love and hard to ignore. Hop on!"
358,Made with Pride,English,None,56min,2020,13+,"""Outspoken is a part of a series which shows how the lives of LGBTQ professionals intersect with their queer identities. In this episode, filmmaker Tammy Jones brother Martin and his partner Maxim in their journey to become parents. Watch the story of how the couple has a child after braving all odds, thus making way for other LGBTQ people to have their own offspring. """
359,Aaron,Marathi,7.3,1 h 55 mins,2018,13+,"Babu, a fifteen-year-old boy from a small village in Konkan (Maharashtra), has not met his mother for many years due to her work in Paris. The boy and his uncle, who is entrusted with the responsibility of taking him to his mother, start their journey to Paris, which turns out to be an unforgettable sojourn for them."
360,Jack Ryan: Shadow Recruit,Hindi,6.2,1 h 45 min,2014,13+,Jack Ryan must quickly evolve from soldier to analyst to full-fledged operative to stop a devastating terrorist plot against the United States.
361,Chira Bhandhavya,Kannada,None,2 h 14 min,1993,NR,"Chira Bhandhavya is a 1993 Indian Kannada film, directed by M S Rajashekar and Produced by ""R Niveditha, N Prema, K Doreswamy.The film Stars ""Shivarajkumar, Padmashree, Bharathi, K S Ashwath, Thoogudeepa Srinivas"", in lead roles. The film had musical score by ""Hamsalekha"""
362,Texas Chainsaw Massacre,Hindi,4.8,1 h 28 min,2013,18+,A young woman travels to Texas to collect an inheritance; little does she know that an encounter with a chainsaw-wielding killer is part of the reward.
363,Adhinayakudu,Telugu,3.6,2 h 31 min,2012,18+,"Adhinayakudu is the story of Harishchandra (Balakrishna), an honest, helpful and kind minister. His goodness angers a local villain as it obstructs his plans. He hires a person to kill Harishchandra. Dynamics of the story changes when he realizes that the assassin is none other than the minister's long lost son."
364,Mutthanna,Kannada,8.6,2 h 26 min,1994,NR,"Mutthanna is a 1994 Indian Kannada film, directed by M S Rajashekar and produced by L.Somanna Gowda. The film stars Shivarajkumar, Shashikumar, Supriya, Sneha, Thoogudeepa Srinivas, Doddanna, Pruthviraj, Sadashiva Bramhavar, Ashwath Narayana and Shivakumar in lead roles. The film had musical score Hamsalekha. Watch the full movie Mutthanna online, only on Eros Now."
365,Dictator - Yudh Ek Jung,Hindi,None,2 h 26 min,2016,NR,"Chandu, a commoner with hidden past life, lives with his wife's family who is unaware that she is no more. He finds himself in a soup of problems after he saves a girl from a group of goons and also, takes the blame for stealing for his colleague. Soon, his relatives start demanding the truth and he is left with is no option but to come clean about his true identity. With his dark past now m ..."
366,Jakkanna,Telugu,6,2 h 16 min,2016,13+,"Ganesh alias Jakkanna (Sunil) is a very helpful guy. He comes to Vizag in search of Bairagi (Kabir Singh) an 'invisible' don in the town. In this process, Ganesh meets a girl called Sahasra (Mannara Chopra)  and falls in love with her. Why is Ganesh in search of Bairagi and What is the relation between Bairagi and Sahasra forms the rest of the story."
367,Elysium,Hindi,6.6,1 h 49 min,2013,18+,"In the year 2154, two classes of people exist: the very wealthy, who live on a pristine man-made space station called Elysium, and the rest, who live on an overpopulated, ruined Earth."
368,Born To Race,Marathi,6,1 h 38 mins,2012,16+,A rebellious teen (Joseph Cross) needs his estranged father's (John Pyper-Ferguson) help to prepare for the NHRA High School Drag Racing Championship.
369,Bandobast,Telugu,6.3,2 h 43 min,2019,13+,"In a world of political rivalry and corporate expansion, competition for supremacy is prevalent. Amidst such harsh climate for dominance, the lives of visionaries and leaders are always under threat. This film is about the life of security guards for such men. The challenges that they face, the risks that they take and their personal life, friends and love."
370,Gamer,Telugu,5.8,1 h 34 min,2009,18+,"In a future mind-controlling game, death row convicts are forced to battle in a 'Doom'-type environment. Convict Kable, controlled by Simon, a skilled teenage gamer, must survive thirty sessions in order to be set free."
371,3 Monkeys,Telugu,6.5,2 h 8 min,2020,13+,"Three bachelors Santosh (Sudigali Sudheer), Phani (Getup Srinu) and Anand (Auto Ram Prasad) who are on the verge of succeeding in their careers get a hooker to their flat to overcome their inhibitions. When the lady dies mysteriously, they find themselves amidst a series of dangers and confusions with a ghost, a dangerous cop on their tail. Adding up to the trouble, Santosh starts hallucinating"
372,Prem Ratan Dhan Payo,Hindi,4.4,2 h 44 min,2015,All,"Yuvraj Vijay Singh, a prince of Pritampur, is soon to be crowned as king and is engaged to Princess Maithili, but due to his stiff and stubborn nature, Vijay faces many problems with Maithili as well as with his brother and sisters. His step sisters, Rajkumari Chandrika and Rajkumari Radhika, live in a separate house outside the royal palace, while his step brother Yuvraj Ajay Singh wants to ..."
373,Ramji Rao Speaking,Malayalam,8.5,2 h 20 min,1989,NR,"Gopalakrishna and Balakrishnan are the two tenants of Urvasi Theatre owned by Mannar Mathayi. The two tenants are penniless and amidst dire circumstances, but the two can’t stand each other. Gopalakrishnan spins tales of riches and position in front of his elderly mother, which Balakrishnan does not like and considers him a fraud. In the meantime, he also sacrifices his job for the hapless R ..."
374,Nazrana Pyar Ka,Hindi,4.9,2 h 23 min,1980,NR,"A story that has double-crossing, affairs and deceit as the core concept. A murder takes place and suddenly the police need leads to track down the murderer but may stumble onto other secrets instead."
375,Endless Love,English,5,1 h 55 min,1981,18+,"A high school student's love for a 15-year-old girl is thwarted by parental disapproval, circumstance and accident."
376,Apple Cake,Kannada,6.5,2 h 22 min,2018,13+,"A story about love, friendship and human values, and centering around four disparate characters who have different outlooks towards life. The film depicts how this diverse bunch of people come together to make something better, much like a many-flavoured apple cake."
377,Mr 7,Telugu,None,1 h 54 min,2012,NR,"Mr 7 is a 2012 Indian Telugu film, directed by Charan Reddy and produced by SVLS Ranga Rao. The film Stars S.V.Ranga Rao and Naleem Upadhaya in lead roles. The music of the film was composed by Munna Kasi."
378,100,Tamil,6.5,2 h 16 min,2019,13+,"Sathya (Atharvaa), an aspiring cop falls in love with NISHA (Hansika) who works at a call centre. As soon as he joins the police department, he receives a suspicious call about a missing girl & he cracks the case. Parallelly, there is a team abducting young girls and selling them. How the 100th call received by Sathya is connected to the other kidnapped girls forms the story of 100."
379,Natha Pure Aata,Marathi,None,2 h 23 mins,2005,All,"Natha (Makrand Anaspure), a young man, spends most of his time daydreaming. One day, he is shocked when his dreams mysteriously come true, getting him involved in hilarious and bizarre situations."
380,Dennis the Menace: Memory Mayhem,English,None,1 h 8 min,1987,All,"Dennis is riding his bicycle with Ruff in the basket and accidentally knocks down Mr. Wilson. Poor ol' Mr. Wilson acquires a bad case of amnesia and can’t remember a thing, not even who he is."
381,Sketch,Tamil,5.7,2 h 11 min,2018,13+,"A man who repossesses cars for a local loan shark makes the mistake of seizing a crazed gangster's prized possession, a vintage Fiat."
382,E Ki Labonye,Bengali,None,2 h 4 min,2016,13+,"E Ki Labonye Is A Romantic Bengali Movie, Directed By Anindya Sarkar, Starring Locket Chatterjee.The Film E Ki Labonye Explores The Inner Conflict Of A Woman For Her Love And Responsibility.The Plot Revolves Around A Couple Married For 12 Years. But There Is No Spark Left In Their Relationship. Labonyo A Celebrity Dancer Loves Amit But She Has Some Responsibilities For Her Husband Kelvin."
383,Pune Via Bihar,Marathi,4.6,2 h 7 mins,2014,13+,"In Bihar, a politician's daughter rebels against her father when he plans to marry her off to an ally's son. Aided by her college friend, she elopes with her lover, intending to secretly marry him."
384,The Grudge 3 (2008),English,4.7,1 h 30 min,2009,18+,"Dr. Sullivan discovers that the ghosts of Kayako and Toshio have targeted a new family. Should she fail in convincing a mysterious Japanese woman to help in banishing the vengeful spirits, everyone involved faces a fate worse than death."
385,Roaring Currents,English,7.1,1 h 45 min,2014,18+,Admiral Yi Sun-sin faces a tough challenge when he is forced to defend his nation with just 13 battleships against 300 Japanese enemy ships in the Battle of Myeongryang.
386,"Man Who Knew Too Little, The",English,None,1 h 33 min,1997,13+,"Bill Murray is Ritchie, the naive spy who comes in very bold in The Man Who Knew Too Little."
387,K.G.F: Chapter 1 (Hindi),Hindi,8.2,2 h 34 min,2018,13+,KGF Chapter 1 is a film based on the gold mines that represents absolute power. The film is based on power struggle to rule these fields which eventually becomes one man’s destiny and his final destination.
388,Ek Unad Divas,Marathi,8.3,1 h 31 mins,2005,All,"Vishwas (Ashok Saraf) is a workaholic businessman who hasn't truly enjoyed life. One day he meets his friend Govinda who makes him realize that one can stay happy within limited means. Govinda's approach towards life forces Vishwas to rethink whether he is really living life to the fullest. He feels he has missed out on a lot of things , decides to let loose and has a fantastic , fulfilling day!"
389,Yatra (Telugu),Telugu,8.2,2 h 5 min,2019,All,An Indian politician takes up a decision to go on a 900-mile walking tour as a part of his election campaign. Yatra is an emotional tribute to the former Chief Minister of Andhra Pradesh Y. S. Rajasekhara Reddy.
390,Sagaa,Tamil,5.9,1 h 59 min,2019,13+,"Sathish, a naughty teenager, is thrown out of school as he is completely unruly. However, his life takes a turn when he joins a karate school and befriends a guy of his age."
391,Ishq Garaari,Punjabi,5.6,2 h 5 mins,2013,13+,"Young lovers Sharry and Priti they decide to get married. But Priti's father will give his approval for this marriage only when Sharry arranges Rs 70 Lakh. He and his friend decide to kidnap Priti's younger sister Sweety and demand 70 lakh from her father, but mistakenly they kidnap another girl having the same name. Inspector Rab Raakhe decides to investigate the case. Watch out the movie."
392,Sangliyana,Kannada,None,1 h 54 min,1988,NR,"Sangliyana is a 1988 Indian Kannada film, directed by P. Nanjundappa. The film stars Shankar Nag, Bhavya, Tara and Ambareesh in lead roles. The film had musical score by Hamsalekha."
393,Charlie and the Chocolate Factory,English,6.6,1 h 54 min,2005,All,"Take an unforgettable, uniquely magical journey through director Tim Burton's deliciously delightful, whimsically wonderful world of Charlie And The Chocolate Factory."
